"filename", "language", "Dart", "comment", "blank", "total"
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\common_widgets\bottom_navigation.dart", "Dart", 11, 0, 2, 13
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\common_widgets\theme.dart", "Dart", -1, 1, 0, 0
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\db_hive\hive_control.dart", "Dart", -1, 0, 0, -1
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\main.dart", "Dart", 0, 0, 2, 2
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\state_machine\state_manager_bloc.dart", "Dart", -4, -3, -6, -13
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\state_machine\state_manager_event.dart", "Dart", -3, 0, 0, -3
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\state_machine\state_manager_state.dart", "Dart", 0, 0, 11, 11
"Total", "-", 2, -2, 9, 9
